n,optimized_comparisons,naive_comparisons
10,41,45
50,1184,1225
100,4906,4950
200,19799,19900
300,44594,44850
400,79423,79800
500,124250,124750
700,244321,244650
900,403947,404550
1100,603718,604450
1300,843318,844350
1500,1123473,1124250
1700,1441387,1444150
2000,1997537,1999000
2300,2642495,2643850
2600,3375526,3378700
3000,4496026,4498500
